id;name;country_id
29;посёлок Куеда;49
482;Дубна;49
210;Белебей;49
829;Волчанск;49
1465;Венеция;81
1195;Новый Ургал;49
1254;Смирновка, Солнечногорский район;49
398;Полазна;49
2001;Ашково;49
2299;Веселый, Весёловский район;49
1943;ЖК Южный город-1, Волжский район;49
771;Черкизово, Пушкинский район;49
1509;Часцы, Одинцовский район;49
1656;Первомайское, Первомайский район;49
238;Южноуральск;49
281;Серов;49
319;Марусино, Криводановский сельсовет;49
1215;Гайдук;49
672;Атамановка, Читинский р-он;49
414;Петропавловск-Камчатский;49
942;Чебаркуль, Чебаркульский район;49
1820;Бисерово, Ногинский район;49
556;Ессентуки;49
2117;Новое Шигалеево;49
922;Новоселье, Ломоносовский р-он;49
1025;Иволгинск;49
1993;Подольск, Хайбуллинский район;49
247;Людиново;49
1202;Верхняя Тура, Свердловская область;49
101;Красноярск;49
1878;Синьково, Раменский городской округ;49
73;Красное Село;49
1537;Слоним;99
1029;Старица, Тверская область;49
2009;Гришенки, Чеховский район;49
1920;Белбулак, Талгарский район;224
1352;Екатеринославка, Октябрьский район;49
495;Стерлитамак;49
960;Калининец;49
432;Одинцово;49
1351;Супсех, Анапский район;49
1271;Халландейл-Бич;214
2123;Черкассы, Саракташский район;49
471;Кондрово;49
2175;Чапли;49
166;Корсаков;49
2290;Пьянково, Ирбитский м.о.;49
2055;Октябрьский, Мошковский район;49
1516;Бобровский, Сысертский г/о;49
1476;Апаринки, Ленинский район;49
2203;Протасово, Мценский район;49
184;Магадан, городской округ Магадан;49
1418;Барселона;152
1501;Инской;49
2153;Новотроицкое, Азовский район;49
263;Борисоглебск;49
1731;Чекон;49
1741;Садовый, Новосибирский район;49
363;Учалы;49
2106;Подбельск;49
2196;село Аркас, Буйнакский район;49
1824;Горки-10;49
1868;Новоекатериновская, Кочубеевский муниципальный округ;49
202;Губаха;49
1786;Старо-Паново, Красносельский район;49
600;Когалым;49
561;Исилькуль;49
1266;Некрасовка, Хабаровский район;49
2059;Рукель, Дербентский район;49
1968;Рамешки, Рамешковский м/о;49
615;Кулунда;49
1753;Балтым;49
332;Барнаул;49
1568;Чесма;49
67;Голицыно, Одинцовский городской округ;49
2078;Удальцово, Приозерский район;49
418;Лиски, Лискинский район;49
168;Салават, городской округ Салават;49
107;Дубовка, Дубовский район;49
680;Сясьстрой, Волховский район;49
1101;Тюкалинск;49
164;Новотроицк, городской округ Новотроицк;49
1996;Дрожжино, Ленинский район;49
2226;Завальное, Усманский район;49
2159;Гавриловка, Воткинский район;49
884;Динская;49
629;Кулебаки, Нижегородская область;49
1333;Невер;49
1747;Советское, Магарамкентский район;49
2202;Копище, Минский район;99
372;Назарово, городской округ Назарово;49
2164;Успенка, Пугачевский район;49
744;Щёкино;49
1876;Ларёво, городской округ Мытищи;49
657;Можга;49
980;Строитель, Яковлевский район;49
2244;Никульское, Москва;49
427;Кинешма;49
185;Вязьма;49
577;Асино;49
1845;Золотаревка, Ипатовский г/о;49
1686;Павлодар;224
1904;деревня Калитино, Волосовский район;49
513;Врангель;49
1111;Донецк, Ростовская область;49
962;Магас;49
1404;Новозавидовский;49
2020;Старая Тюрлема;49
2266;Красночервонный;49
1771;Шэньчжэнь;84
585;Апрелевка;49
1905;посёлок Курск (Большеврудское с/п);49
484;Молоково, Ленинский г/о;49
549;Видное, Ленинский г/о;49
925;Полярные Зори;49
1374;Атемар;49
2342;Сосенское;49
437;Талица, Талицкий г/о;49
1402;Тарасовский;49
1974;Хатукай;49
918;Советск, Калининградская область;49
1473;Сковородино;49
50;Кызыл;49
1276;Ромашково, Одинцовский городской округ;49
