id,order_id,reason_for_delay
1,41150,https://secure.usedesk.ru/tickets/187448128
2,42915,некорр сроки
3,44612,дд
4,11343,По последней имеющейся информации машина должна выехать в сторону Москвы 01.03
5,29804,Коллеги  у перевозчика имеются задержки в бронировании рейсов. Груз должен приземлиться во Внуково на ТО 10-12.03 Статусы по накладной должны обновиться 12-13.03
6,41149,Получатель не отвечает на телефон. 
7,26574,Груз отгружен в составе консолидации 8874989608   номер отгрузки SH/81123/21470440.
8,11958,ТС не поступала на склад  ожидаем прибытие в течении суток - двух. Связана с погодными условиями.
9,40780,зависание в КТ 68 дней  проставлена утеря
10,40768,ДД НЕ СНИМАТЬ
11,40333,Вложение отправлено таможней на экспертизу
12,42441,КТ12. Проставлен расход.
13,44647,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
14,46362,https://secure.usedesk.ru/tickets/188415171 поврежден  протек  возврат
15,25975,созвонились с клиентом обещал прийти сегодня.
16,8519,ТС не поступала на склад  ожидаем прибытие в течении суток - двух. Связана с погодными условиями.
17,32825,отмена по запросу авито 
18,42495,Абонент не доступен
19,42483,Не востребован  утилизация
20,16806,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
21,44649,Коллеги  добрый день  груз поступит не ранее июля  навигация еще закрыта.
22,10603,Переносы доставки по желанию клиента  актуальная дата 15.03.
23,43294,смарт
24,29788,не берет трубку
25,20137,Получатель не берет трубку 
26,17482,ПРОВЕРКА СКЛАДА НА НАЛИЧИЕ
27,40729,https://secure.usedesk.ru/tickets/187422247
28,42503,заберут груз 8.07
29,8587,Срок хранения продлен до 15.03
30,18890,ТС не поступала на склад  ожидаем прибытие в течении суток - двух. Связана с погодными условиями.
31,14718,Получателю не удобно получить сегодня груз. Доставка на 12.01 
32,40335,Сведения о паспортных данных некорректны  либо паспорт не действителен (необходимо предоставить скан паспорта)
33,44613,клиент не отвечает на звонки и смс сообщение
34,17509,Не поступал 
35,40316,Коллеги  заказ находится на СВХ брокера ТАНАИС  по итогам файла инвентаризации от 15.06. Просьба при открытии СЗ на ТО  указывать данный факт. в случае сканирования после 15.06 данные будут не актуальны 
36,42430,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
37,9961,Груз отправлен от ЕКБ  дорога перекрыта задержка тс. 
38,10638,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
39,40728,https://corp.cdek.ru/browse/IL-37794
40,24758,На видео расконсолидации искомый груз не удалось идентифицировать. Ожидаем результатов поиска УК.
41,42453,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
42,24129,Опасный груз
43,42497,Не доступен
44,35180,-
45,42446,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
46,42431,Истек срок хранения  открыто С-З С  ЗМ
47,30364,1526825016 СЗ
48,18884,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
49,44614,Отмена по просьбе получателя.
50,22011,оповещен
