id,name,system_name
7,На Октябрьской 80,MOZ3
12,проспект Вингиссара,VOL2
28,На Тернопольской,PNZ3
43,На Советской  95к1,VER7
54,СЦ Софийская (прием/выдача тяжелых грузов  LTL),SPB119
74,На Тимирязева 68,DON1
92,На Кораблестроителей,SPB109
97,Березовая Роща,VRN30
98,На Ленина  73,BAR3
101,Дом Быта,BRN18
106,На Шеронова 2  корп.5,KHAB28
119,На Басаргина 6А,VLK95
135,На Советской,KSHR1
155,Уфимский центр приема заказов,UFA17
163,На Кирова 90,USK5
182,На Труда  8,GAY6
183,СЦ (прием/выдача тяжелых грузов  LTL),DLP4
185,На Сарабеева,KSD88
186,На Центральной  4,ACH2
188,На Западном проезде  14,SVR5
204,На Урицкого,VPN2
215,На Птицефабрике 35,TII3
224,6104 Постамат Халва,MSK1760
235,На Коммунальной  16а,OPO3
252,6174 Постамат Халва,SPB1127
258,2171 Постамат Халва,SUR64
259,На улице Луч  20,ZHKV23
263,На Братьев Кашириных,CHEL28
267,На Гагарина 36А,NZHK17
269,4793 Постамат Халва,ROS6
273,6803 Постамат СДЭК,UU21
275,На Джабагиева  1а,EKA1
285,На Юбилейной 5,MAN9
287,Адлер (СЦ нет приема/выдачи груза),SCH20
291,На 16 лет Октября  24а,KPK9
292,На Лесотехникума 49/1,UFA129
296,0874 Постамат Халва,ULN53
299,На Большой Октябрьской,YARS2
309,2790 Постамат Халва,SKT13
336,Времена года,ORN10
337,На Пулковском шоссе,SPB243
357,0857 Постамат Халва,SPB955
358,5201 Постамат Халва,KZN213
362,На Сибирском тракте  23,KZN248
364,На Ленина 17/18,ALE12
366,На 3-го Интернационала,NGN5
368,На Совхозной  16,YEKB352
371,На Архангельском шоссе  41,SVK2
403,На Комсомольском 2,YAS2
429,На Парковой,ARS4
435,На Армавирской  26,YEKB368
442,На Квартале Б 14,YARV1
445,На Королева  21к1,SPB180
462,Северный,SEN2
468,6596 Постамат СДЭК,PRZH10
476,На Лазо 23А,CHE14
478,На Привокзальной,NKR2
479,На 50 лет Победы  16,VRT1
491,3862 Постамат Халва,MSK2228
517,На Стартовой 1  ЖК Красногорский,NKHB3
520,5764 Постамат Халва,MSK1548
540,Южный,STR4
541,На Пермякова  68,TYUM66
542,На Ойшаева 5,ACH1
555,На Демьяна Бедного,BLG9
568,На Молодогвардейской  61к2 стр.1,MSK78
578,На Максима Горького  77,NSK124
590,На Ласточкином проезде вл8  стр.8Б  Заря,BLSH87
612,На Молодёжном 36,TLT82
633,На Богатырском проспекте 49,SPB561
641,ТЦ Артель,PAV8
647,На Маяковского,INO1
650,На Русановской,SPB164
655,На Фучика,KZN30
668,На Острогожской  170/2,VRN49
674,СЦ (прием/выдача тяжелых грузов  LTL),VLZ5
681,Багратионовская,MSK126
685,Изумрудные холмы,KRN10
709,СЦ (Нет выдачи/приема),ELT4
727,На Старо-Петергофском 31/2Л,SPB182
731,На Дубравной 40,MTN69
746,На Ленина,MUR5
758,На Свердлова  2,KOM12
760,На Героев Сталинграда,SMF14
786,На Рудневке  14,MSK2327
799,На Новоселов  40А,RZN26
807,На Мира  76,TLT76
818,На Лермонтова  46,TRU2
830,Марьино,MSK68
837,На Пушкинской  28А,ROD3
867,На Энгельса 69,SLD2
890,СЦ (прием/выдача тяжелых грузов  LTL),NPR6
892,СЦ (Нет приема/выдачи),SHCHLK6
904,На 40 Лет Октября 16А,TAY6
910,На проспекте Ленина  9,NN37
927,5834 Постамат Халва,ZHKV22
928,На Красном Пути  101к2,OMS72
930,ПФО Тихий проезд,TYUM44
936,ЖК Саларьево парк,MSK354
943,ТРК Столица,PRM36
944,ТЦ Колизей,VLM3
948,На Ленинградской,LES1
957,На Пушкина,LKTS2
970,На Красной  70,NOV28
989,Район Южная Паттайя,PTT4
994,На Геологической,SUR14
1001,На Студнева 2,FUR1
1004,5428 Постамат Халва,KZN214
1008,Сеть Градусы - выдача,KRE1
1017,пос. Володарского,VLD23
1026,На Габдуллина  9,SHET11
1028,На Новоямской,KLN5
1029,На Вокзальной 81Д,YELA2
1036,На Богдана Хмельницкого 19,AST179
1058,На Бухарестской 67,SPB141
1061,На проспекте Дзержинского  211/3,NVR39
1066,На Свердлова  83,SHDR5
1068,На Дзержинского,BLX1
1073,2859 Постамат Халва,SVK31
1078,На Советской 14,KUG3
6,На Восточной ПВЗ,ORN1
14,На Энгельса,NVR8
16,На Сморговском тракте 3,MIN34
18,На Пригородной 105,KSD256
20,На Поречной,MSK481
31,2 мкр-н д7,BZL3
45,На Дмитрия Ульянова,MSK350
58,На 1 мая 57/2,ARM20
61,На Московской 52,BLT3
65,На Прокшинском проспекте  12,SOYE28
67,На Иркутском 175А,TOM74
73,На Северной  20/3,STTS1
85,4939 Постамат Халва,ARKH57
107,На Кирова 3,OSK7
