id;warehouse_id;city_id;street;house
5;5;1424;ул. Советская;2/150
10;10;407;ул.Азина;135
11;11;82;Каширское шоссе;19
21;21;764;ул. Мира;199/3
32;32;634;ул. Чехова;269
52;52;408;ул. Рижская;55
56;56;819;пр-т. Энергетиков;3
62;62;173;пл. Революции;8А
108;108;14;ул. Туркестанская;2А
110;110;270;ул.  Революционная;76
111;111;1031;ул. Карла Маркса;188
112;112;343;ул. Туапсинская;8
117;117;18;ул. Кузнецова;3
123;123;397;ул. 3-го Интернационала;22
137;137;172;пр. Химиков;53
138;138;506;ул. Менжинского;4Г
141;141;1250;ул. Гагарина;15
153;153;18;ул. 3-я Дачная;1, корп.14
161;161;973;ул. Советская;3
164;164;419;Московское шоссе;3А
172;172;482;пр-т Боголюбова;44
173;173;834;ул. Маяковского;47
177;177;1792;Микрорайон 12;1
200;200;339;ул. Фаузи Зайлалова;14
238;238;486;пр-т Ленина;146/66
245;245;82;ул. Домодедовская;20, корп.3
246;246;424;ул. им. Петра Метальникова;13
254;254;410;ул. Зальцмана;10
264;264;1367;ул. Героев Аджимушкая;июн.13
268;268;169;ул. Маршала Казакова;35АИ
284;284;82;ул. Ленская;10 корп. 1
286;286;102;ул. Байкальская;202/10
288;288;269;ул. Репина;8
306;306;407;Ул. Карла Маркса;287
311;311;82;ул. Динамовская;1А
312;312;253;ул. Бригадная ;2
313;313;520;ул. Юбилейная;3
314;314;570;ул. Бориса Богаткова;248а
328;328;169;ул. Народная;40
342;342;408;ул. Андрея Кореневского;11
347;347;1330;ул. 50 лет ВЛКСМ;11
349;349;169;пр-кт Дальневосточный;25к1
370;370;1597;ул. Комсомольская;63
372;372;198;ул. Ленина;30 А
373;373;82;б-р. Маршала Рокоссовского;8
378;378;22;ул. Радиоцентра №5;16
384;384;408;ул. Республики;181
397;397;1792;26 микрорайон ;31
399;399;96;Ул. Пушкина;116Б
406;406;469;ул. Ленина;201
413;413;82;ул. Щепкина;28
415;415;343;ул. Пластунская;92
419;419;96;ул. 25 октября;22а
423;423;566;проспект Космонавтов;41А
426;426;343;ул. Просвещения;118б
443;443;467;ул. Ярославского;148
451;451;494;ул. Достоевского;83
460;460;1760;ул. Почтовая;56Б
469;469;424;пос. Индустриальный, ул. Евгения Осокина;07.май
472;472;931;ул. Советская;24
474;474;414;ул. Дальневосточная;10а
480;480;258;Б-р Строителей;28.янв
481;481;1761;ул. Счастливая;11
503;503;234;пр-т. Мира;40
505;505;415;ул. Краснореченская;69
521;521;14;ул. Поляничко;10 пом. 12
536;536;111;ул. Ново-Садовая;6
537;537;497;ш. Носовихинское;7
539;539;96;ул. Калинина;13
547;547;1042;ул. Красная;103
549;549;943;пр. Гагарина;236 б
553;553;486;ул. Циолковского;11
561;561;82;пер. Товарищеский ;1, стр. 2
562;562;82;Славянский бульвар;5 корп. 1
566;566;567;ул. Тукая;13/19
567;567;169;ул. Марата;67/17
573;573;82;ул. Генерала Глаголева;22
576;576;111;ул. Вольская;126
577;577;347;ул. Ворошилова;49а
587;587;82;Чонгарский бульвар;4
605;605;579;рп. Средняя Ахтуба, ул. Пригородная;2Б
609;609;22;мкр. Богородский;10
619;619;96;ул. Холмогорская;4В
624;624;98;ул. Старых Большевиков;82/1
629;629;1131;ул. Свободы;95
631;631;328;Ленинградский пр-т;47
648;648;424;ул. им. Мачуги В.Н.;6
660;660;96;ул. Связистов;5
661;661;401;пр-т. Губкина;19
666;666;96;д. Кондратово, ул. Камская;1Б
676;676;1247;ул. Боевая;14А
684;684;943;пр-т. Райымбека;522/1
695;695;347;ул. Ильюшина;13
696;696;287;ул. Ломоносова;71
699;699;1714;ул. Керченская ;86
703;703;1322;ул. Октябрьская;16.май
711;711;456;ул. Советская;3
713;713;98;ул. Алтайская;62
720;720;82;ш. Хорошёвское;82к7
725;725;82;ул.Паромная;ноя.31
728;728;256;ул. 3 Интернационала;4
730;730;378;Ул.Дзержинского;17
732;732;1616;пр-т. Чуйский;124
736;736;82;ул. 16-я Парковая;45
739;739;248;ул. Пушкина;28
2;2;343;ул. Железнодорожный переезд;1
24;24;1681;ул. Мира;11Б
33;33;96;ул. Куйбышева;165
37;37;173;ул. Шошина;15
46;46;570;площадь Маркса;5
55;55;98;ул. Сулимова;23
69;69;1367;село Фонтаны, Чистенское сельское поселение;67Б, строение №2
114;114;63;ул. Кировская;17Б
116;116;755;пр-т Ленина;2А
118;118;343;ул. Тургенева;10
124;124;1901;ул. Ленина;78
132;132;17;ул. Ефремова;2
133;133;341;пр. Созидателей;7
134;134;82;ул. Рождественская;8
144;144;82;ул. Борисовские Пруды;14 к. 5
147;147;607;ул. Базарная;1
151;151;1247;ул. Кочмарского;55
154;154;1233;ул. Курбанова;14
159;159;408;ул. Западносибирская;30
165;165;89;Демидовская Плотина;09.фев
169;169;92;ул. 40 лет Октября;15.янв
175;175;943;мкр. Шугыла;340/8к3
179;179;415;ул. Карла Маркса;96а
187;187;48;ул. Московская;75
195;195;1395;ул, Воскресенская;02.янв
196;196;756;ул. Шпигуна;67с
206;206;169;пр-т. Советский;2
208;208;82;ул. Руднёвка;14
209;209;59;ул.  Некрасова;57А
218;218;415;ул. Шелеста;112 а
220;220;797;ул. Тронина;10
240;240;343;ул. Ясногорская;16.июл
241;241;514;Калужское шоссе;20
242;242;169;ул. Челюскина;6, стр. 1
272;272;252;ул.  Шагова;61/1
294;294;581;ул. 45 параллель;75
297;297;82;ул. Изюмская;57
300;300;82;ул. Вешняковская;12Ж
310;310;347;ул. 60 Армии;29А
315;315;169;ул. Адмирала Трибуца;5
320;320;671;ул. Гагарина;56Б
321;321;1424;ул. Интернациональная;116
333;333;417;ул. Харьковская;34
335;335;190;ул. Дегтярева;1
338;338;623;ул. Летная;40
352;352;581;ул. Бурмистрова;26В
355;355;258;пр-т. Шахтеров;87
367;367;1026;пр-т Казанский;129
369;369;1191;пер.Свободы;8
375;375;554;Ул. Тихоокеанская;1
377;377;425;пр-т. Акушинского;191
388;388;579;пр-т Ленина;92б
400;400;1946;ш. Рязановское;31
411;411;341;ул. Четаева;20
418;418;810;ул. Королева;5
422;422;540;ул. Ленинградская;53
431;431;910;ул. Ленина;70
434;434;82;ул. Кременчугская;9
452;452;424;ул. им. Героя Николая Шевелева;5
471;471;1994;ул. Наволоцкая;35А
484;484;82;ул. Вавилова;15
515;515;332;ул. Шумакова;61
518;518;178;ул. Семена Билецкого;1
525;525;343;ул. Энергетиков;11
550;550;14;Беляевское шоссе;5
556;556;270;ул. Мира;115
557;557;506;ул. Лелюшенко;13
570;570;17;ул. Чаадаева;28
574;574;181;Днепровская;21 строение 2
582;582;407;ул. Пушкинская;224
586;586;2134;Микрорайон «Г»;22
589;589;149;ул. Губкина;02.апр
593;593;570;ул. Иванова;4
601;601;569;ул. Балакинская;18
615;615;410;ул. Лобырина;13
627;627;1821;ул. Адмирала Фадеева;21д
635;635;355;ул. Автозаводская;33Г
640;640;171;ул. Лебедева;59
643;643;259;пр-т Мира;2
652;652;634;пер. 1-ый Новый;24
653;653;1360;ул. Жертв Революции;28
667;667;570;ул. Бориса Богаткова;262
682;682;102;ул. Баррикад;215
686;686;2160;ул. Ленина;6Б
693;693;641;ул. Чкалова;5, пом. 26
702;702;943;пр-т Сейфуллина;183А
717;717;624;Анапское шоссе;30
738;738;90;ул. Юрия Гагарина;13
740;740;101;ул. Молокова;28
742;742;341;Проспект Ямашева;49
752;752;627;ул. Авиатриссы Зверевой;1
768;768;897;ул. Комсомольская;10
783;783;748;ОТКЕ;1
791;791;82;Ул. Героев Панфиловцев;13
811;811;113;пр-т. Лесной;47В
815;815;82;ул. Профсоюзная;126
821;821;982;Советская площадь;16
822;822;111;п. Мехзавод, 1-й квартал;31
833;833;582;ул. Мира;3-Ж
836;836;137;ул. 30-летия Победы;2
843;843;1219;ул. Кирова;30
855;855;412;пр. Октябрьский;7
863;863;1733;ул. Зеленая;42а
866;866;82;ул. Габричевского;10 корп. 1
873;873;433;"ул. МКР ""А""";68
895;895;631;ул. Коммунистическая;40
898;898;178;ЮГОРСКИЙ ТРАКТ;2
1;1;957;ул. Спорта;34 пом.21
13;13;101;ЯРЫГИНСКАЯ НАБЕРЕЖНАЯ;9
19;19;412;ул. Косыгина;13
22;22;96;ул. Советская;3
26;26;566;ул. Пионерская;30
27;27;494;ул. Георгия Мушникова;13
30;30;343;ул. Пластунская;181г
36;36;450;"ГК ""Строитель-2"", гараж №296";-
38;38;82;ул. Амундсена;14
40;40;631;ул. Дзержинского;12
49;49;408;ул. Мельникайте;142
63;63;409;ул. Советская;217
71;71;82;ул. Маршала Неделина;28
88;88;102;ул. Фурье;8
91;91;609;пр-т Ленина;23
102;102;389;ул. Октябрьская;191/3
103;103;1425;пр-т. Мира;4
104;104;169;пр-т. Непокоренных;47А
115;115;181;ул. Жигура;30
120;120;506;б-р. Платова;апр.35
122;122;557;Московский пр-т.;57
125;125;169;Малый проспект Васильевского острова;29 лит. Г
128;128;82;ул. Молодцова;23
129;129;98;ул. Евгения Савкова;1
146;146;627;ул. Авиатриссы Зверевой;3
168;168;167;ул. Дзержинского;36
176;176;331;ул. Коммунистическая;21
184;184;505;пр-т Мира;9Б
189;189;392;ул. Промышленная;09.янв
211;211;318;ул. Анисимова;5
212;212;82;ул. Душинская;14А стр. 2
228;228;620;ул. Полевая;1А
230;230;169;ул. Маршала  Казакова;78
233;233;89;ул. Дмитрия Ульянова;13
237;237;1496;ул. Горького;53
244;244;730;пр-т. Комсомольский;110А/3
266;266;536;ул. Ленинского Комсомола;5
274;274;252;АПРАКСИНСКИЙ ПРОЕЗД;35
303;303;341;пр-кт Альберта Камалеева;34
318;318;189;ул. Гагарина;2А
344;344;506;ул. Мечникова;148
345;345;1408;ул. Умарова;16В
350;350;289;ул. Революционная;38а
351;351;280;ул. Урицкого;12
361;361;18;ул. Тархова;41/1
363;363;570;ул. Богдана Хмельницкого;63
365;365;974;ул. Советская;115а
379;379;1017;ул. Майлина;16.фев
382;382;341;ул. Сибирский Тракт;34
383;383;506;ул. Еременко;103
390;390;169;ул. Заозёрная;4
392;392;415;ул. Тихоокенская;218Б
394;394;943;ул. Абая;159/2
401;401;181;ул.Ильичева;32
405;405;269;ул. Крымова;63/1
412;412;17;ул. Ларина;26к1
424;424;424;ул. Колхозная;18.янв
433;433;1824;п. Горки -10;27.фев
437;437;169;ул. Громова;4
444;444;1119;б-р Горшкова;3
449;449;169;Московский пр-т;д. 161
454;454;251;ул. 2-я Железнодорожная;34
455;455;1396;ул. Ленина;7
458;458;494;пр-т Октября;10
475;475;232;ул. Патриса Лумумбы;7
485;485;306;ул. Мира;2
506;506;169;ул. Варшавская;6
507;507;492;ул. 60 лет Октября;7
511;511;112;ул. А.А.Айдамирова;82
533;533;581;ул. Тухачевского;19.янв
543;543;2;ул. Октябрьской Революции;1
563;563;514;Сиреневый б-р;7
564;564;701;пр-т. Абулхаир хана;58/1
596;596;82;ул. Гурьянова;30
600;600;408;ул. Республики;83
606;606;169;ул. Дыбенко;4 корп. 1
608;608;1096;Коммунально складская зона;-
610;610;331;ул. Терешковой;20Б
611;611;82;ш. Щелковское;3 стр. 1
613;613;795;ул. Троицкая;145
614;614;177;ул. Казакова;10
618;618;88;ул. Комсомольская;235б
620;620;736;пр-т. Южный;29
621;621;357;ул. Победы;21
644;644;460;ул. Ленина;113Б
649;649;1322;ул. Прилукская;60
654;654;101;ул. Калинина;75/8
659;659;607;пр-т. Ленина;88
663;663;410;ул. Труда;156
664;664;310;пр-т. Ленина;61
670;670;82;ул. Международная;15
688;688;570;УЛ. КРИВОЩЕКОВСКАЯ;15
690;690;623;пр-т. Астрахова;5Ак1
701;701;72;ул. Первомайская;46а
704;704;112;ул. Иоанисиани;12
706;706;558;ул. Советская;50
710;710;82;ул. Шарикоподшипниковская;32
714;714;331;ул. Балтахинова;36
715;715;169;ул. Турку;8
750;750;82;ул. Вишневая;9 к.1
755;755;209;ул. Нефтяников;19В
756;756;82;Пресненская наб.;12
759;759;1009;ул. Комсомольская;15
765;765;510;ул. Вокзальная;1
771;771;173;ул. Воронина;7
781;781;98;ул. Техническая;16
796;796;1325;ул. Первомайская;48Б
7;7;901;ул. Октябрьская;80
12;12;995;проспект Вингиссара;29
