id,address_id,warehouse_id,max_loading_weight,max_loading_volume
1161,1,1,957,9570
871,2,2,686,6860
2031,3,3,735,7350
1,4,4,4688,46880
581,5,5,7120,71200
1741,6,6,84,840
1451,7,7,6307,63070
2,8,8,3336,33360
2032,9,9,3069,30690
582,10,10,4070,40700
583,11,11,902,9020
1452,12,12,11940,119400
1162,13,13,1313,13130
1742,14,14,266,2660
291,15,15,4035,40350
1743,16,16,21152,211520
2033,17,17,7208,72080
1744,18,18,7632,76320
1163,19,19,7828,78280
1745,20,20,1640,16400
584,21,21,16044,160440
1164,22,22,2112,21120
292,23,23,13110,131100
872,24,24,40344,403440
2034,25,25,2050,20500
1165,26,26,14716,147160
1166,27,27,13338,133380
1453,28,28,3276,32760
3,29,29,9570,95700
1167,30,30,10290,102900
1746,31,31,4836,48360
585,32,32,20288,202880
873,33,33,3168,31680
4,34,34,10234,102340
293,35,35,2870,28700
1168,36,36,16200,162000
874,37,37,6401,64010
1169,38,38,3116,31160
2035,39,39,25233,252330
1170,40,40,25240,252400
5,41,41,25994,259940
6,42,42,58002,580020
1454,43,43,52073,520730
294,44,44,8228,82280
1747,45,45,3690,36900
875,46,46,26220,262200
295,47,47,11844,118440
2036,48,48,3936,39360
1171,49,49,19992,199920
296,50,50,13500,135000
7,51,51,2958,29580
586,52,52,21216,212160
8,53,53,37418,374180
1455,54,54,9126,91260
876,55,55,5390,53900
587,56,56,45864,458640
297,57,57,77919,779190
1748,58,58,34742,347420
9,59,59,5428,54280
2037,60,60,24060,240600
1749,61,61,32330,323300
588,62,62,10726,107260
1172,63,63,25767,257670
298,64,64,31552,315520
1750,65,65,152230,1522300
10,66,66,6468,64680
1751,67,67,27537,275370
2038,68,68,86700,867000
877,69,69,94323,943230
11,70,70,32340,323400
1173,71,71,5822,58220
299,72,72,116352,1163520
1752,73,73,99353,993530
1456,74,74,82214,822140
12,75,75,31800,318000
2039,76,76,37848,378480
13,77,77,44044,440440
300,78,78,83538,835380
301,79,79,185018,1850180
14,80,80,40480,404800
2040,81,81,9477,94770
2041,82,82,33620,336200
302,83,83,130891,1308910
15,84,84,6888,68880
1753,85,85,9350,93500
303,86,86,7052,70520
2042,87,87,22707,227070
1174,88,88,8976,89760
304,89,89,102795,1027950
2043,90,90,9180,91800
1175,91,91,55419,554190
1457,92,92,15548,155480
16,93,93,1767,17670
17,94,94,147580,1475800
2044,95,95,61180,611800
2045,96,96,54528,545280
1458,97,97,33659,336590
1459,98,98,92512,925120
18,99,99,16731,167310
2046,100,100,50300,503000
1460,101,101,33532,335320
1176,102,102,39678,396780
1177,103,103,146775,1467750
1178,104,104,17576,175760
2047,105,105,128625,1286250
1461,106,106,43990,439900
1754,107,107,1712,17120
589,108,108,1512,15120
19,109,109,8938,89380
590,110,110,29700,297000
591,111,111,114441,1144410
592,112,112,38416,384160
2048,113,113,153906,1539060
878,114,114,7182,71820
1179,115,115,20815,208150
879,116,116,87580,875800
593,117,117,2106,21060
880,118,118,40474,404740
1462,119,119,21539,215390
1180,120,120,60720,607200
1755,121,121,190696,1906960
1181,122,122,67954,679540
594,123,123,48831,488310
881,124,124,235724,2357240
1182,125,125,21125,211250
20,126,126,10332,103320
2049,127,127,32512,325120
1183,128,128,10496,104960
1184,129,129,12642,126420
21,130,130,2340,23400
1756,131,131,54365,543650
882,132,132,2244,22440
883,133,133,45353,453530
884,134,134,10988,109880
1463,135,135,945,9450
2050,136,136,11152,111520
595,137,137,23564,235640
596,138,138,69828,698280
22,139,139,216840,2168400
1757,140,140,132020,1320200
597,141,141,176250,1762500
23,142,142,49274,492740
24,143,143,81367,813670
885,144,144,11808,118080
1758,145,145,59160,591600
1185,146,146,91542,915420
886,147,147,89229,892290
305,148,148,12136,121360
306,149,149,45296,452960
307,150,150,61500,615000
887,151,151,188297,1882970
308,152,152,3952,39520
598,153,153,2754,27540
888,154,154,189882,1898820
1464,155,155,76570,765700
1759,156,156,26364,263640
1760,157,157,102992,1029920
309,158,158,12956,129560
889,159,159,64872,648720
310,160,160,65760,657600
599,161,161,156653,1566530
311,162,162,121500,1215000
1465,163,163,4075,40750
600,164,164,68716,687160
890,165,165,14685,146850
312,166,166,178284,1782840
1761,167,167,123079,1230790
1186,168,168,28056,280560
891,169,169,15548,155480
313,170,170,35190,351900
1762,171,171,30951,309510
601,172,172,82904,829040
602,173,173,144282,1442820
2051,174,174,14268,142680
892,175,175,165025,1650250
1187,176,176,58256,582560
603,177,177,317184,3171840
314,178,178,75472,754720
893,179,179,74285,742850
1763,180,180,59760,597600
1764,181,181,128510,1285100
1466,182,182,221130,2211300
1467,183,183,35502,355020
1188,184,184,92920,929200
1468,185,185,78440,784400
1469,186,186,121086,1210860
894,187,187,8976,89760
1470,188,188,195708,1957080
1189,189,189,74088,740880
25,190,190,21090,210900
315,191,191,79265,792650
26,192,192,38400,384000
27,193,193,314976,3149760
2052,194,194,44426,444260
895,195,195,272025,2720250
896,196,196,148176,1481760
28,197,197,16154,161540
2053,198,198,67914,679140
316,199,199,92137,921370
604,200,200,67800,678000
2054,201,201,211251,2112510
317,202,202,16564,165640
1765,203,203,117740,1177400
1471,204,204,54468,544680
2055,205,205,3895,38950
897,206,206,34814,348140
29,207,207,280485,2804850
898,208,208,17056,170560
899,209,209,12331,123310
2056,210,210,35490,354900
1190,211,211,67098,670980
1191,212,212,17384,173840
2057,213,213,281586,2815860
1766,214,214,277130,2771300
1472,215,215,33755,337550
318,216,216,36504,365040
2058,217,217,209839,2098390
900,218,218,90470,904700
2059,219,219,396609,3966090
901,220,220,175340,1753400
2060,221,221,178568,1785680
319,222,222,76146,761460
30,223,223,76489,764890
1473,224,224,18368,183680
31,225,225,76725,767250
320,226,226,49042,490420
321,227,227,338684,3386840
1192,228,228,141360,1413600
1767,229,229,18778,187780
1193,230,230,38870,388700
2061,231,231,18942,189420
1768,232,232,134792,1347920
1194,233,233,20737,207370
322,234,234,91494,914940
1474,235,235,292105,2921050
1769,236,236,81892,818920
1195,237,237,354552,3545520
605,238,238,115668,1156680
2062,239,239,20076,200760
902,240,240,82320,823200
903,241,241,123874,1238740
904,242,242,40898,408980
323,243,243,112995,1129950
1196,244,244,178120,1781200
606,245,245,20090,200900
607,246,246,104304,1043040
32,247,247,440895,4408950
324,248,248,41912,419120
325,249,249,21663,216630
